id_value,designation,specie_id,organism_id,strain_id
16655,O46,583,1678,16655
16656,55-99-44,583,1679,16656
16657,USA400-0051,583,1680,16657
16659,EDCC5464,583,1681,16659
16660,EDCC5458,583,1682,16660
16661,CFSAN007883,583,1683,16661
16662,CFSAN007851,583,1684,16662
16663,CFSAN007850,583,1685,16663
16664,CFSAN007847,583,1686,16664
16665,CFSAN007894,583,1687,16665
16666,CFSAN007835,583,1688,16666
16667,HZW450,583,1689,16667
16668,FDAARGOS_412,583,1690,16668
16669,JH4899,583,1691,16669
16670,OC8,583,1692,16670
16671,No. 10,583,1693,16671
16672,No.10,583,1694,16672
16675,7058,583,1695,16675
16676,P7,583,1696,16676
16677,18583,583,1697,16677
16678,13199,583,1698,16678
16679,2113,583,1699,16679
16680,P6,583,1700,16680
16681,H18826,583,1701,16681
16682,PC3star,583,1702,16682
16685,6089,583,1703,16685
16686,1092,583,1704,16686
16688,10457,583,1705,16688
16689,52824,583,1706,16689
16690,10388,583,1707,16690
16691,AW10,583,1708,16691
16693,510,583,1709,16693
16694,RN6390,583,1710,16694
16695,ATCC29213,583,1711,16695
16696,18412,583,1712,16696
16698,P3,583,1713,16698
16699,CR1,583,1714,16699
16700,Sp1664,583,1715,16700
16701,MB138,583,1716,16701
16702,J01,583,1717,16702
16704,4297,583,1718,16704
16705,MC1,583,1719,16705
16706,AW35,583,1720,16706
16707,P2,583,1721,16707
16708,HH907,583,1722,16708
16710,8406,583,1723,16710
16711,Cowan,583,1724,16711
16712,USA300,583,1725,16712
16713,ATCC43300,583,1726,16713
16714,1059,583,1727,16714
16715,277,583,1728,16715
16716,P4,583,1729,16716
16717,AW26,583,1730,16717
16718,lambda02,583,1731,16718
16719,DU5844NWMN,583,1732,16719
16720,4173,583,1733,16720
16721,P1,583,1734,16721
16722,1112,583,1735,16722
16723,ST398,583,1736,16723
16724,VT162,583,1737,16724
16725,Sa45Yok,583,1738,16725
16726,B5,583,1739,16726
16727,B1,583,1740,16727
16728,CHUV18583,583,1741,16728
16729,CA347,583,1742,16729
16730,HO5096,583,1743,16730
16731,JH9,583,1744,16731
16732,UAS391,583,1745,16732
16733,ED133,583,1746,16733
16734,RF122,583,1747,16734
16735,B3,583,1748,16735
16736,B2,583,1749,16736
16737,502A,583,1750,16737
16738,ECTR2,583,1751,16738
16739,B9,583,1752,16739
16740,Sa53Yok,583,1753,16740
16741,Sa25Yok,583,1754,16741
16742,Sa49Yok,583,1755,16742
16743,JKD6159,583,1756,16743
16744,SA957,583,1757,16744
16745,Sa80Yok,583,1758,16745
16746,Mu3,583,1759,16746
16747,Mu50,583,1760,16747
16748,SA40,583,1761,16748
16749,Z172,583,1762,16749
16750,15532,583,1763,16750
16751,TW20,583,1764,16751
16752,MSSA476,583,1765,16752
16753,T0131,583,1766,16753
16754,SA268,583,1767,16754
