,strain_db,strain_api,error details,organism_type
0,4573,11541,-1,3
1,4575,11542,--,2
2,4576,11543,--,2
3,4577,11544,--,2
4,4578,11545,--,2
5,4579,11546,--,2
6,4580,11547,--,2
7,4582,11548,--,2
8,4584,11549,--,2
9,4585,11550,--,2
10,4586,11551,--,2
11,4587,11552,--,2
12,4588,11553,--,2
13,4590,11554,-1,3
14,4591,11555,--,2
15,4592,11556,--,2
16,4593,11557,--,2
17,4594,11558,--,2
18,4595,11559,--,2
19,4596,11560,--,2
20,4597,11561,--,2
21,4598,11562,--,2
22,4599,11563,--,2
23,4600,11564,--,2
24,4601,11565,--,2
25,4602,11566,--,2
26,4604,11567,--,2
27,4605,11568,--,2
28,4606,11569,--,2
29,4607,11570,--,2
30,4608,11571,--,2
31,4609,11572,-1,3
32,4610,11573,-1,3
33,4611,11574,--,2
34,4612,11575,--,2
35,4613,11576,--,2
36,4614,11577,--,2
37,4615,11578,--,2
38,4616,11579,--,2
39,4617,11580,--,2
40,4618,11581,--,2
41,4619,11582,--,2
42,4620,11583,-1,3
43,4621,11584,--,2
44,4622,11585,--,2
45,4623,11586,--,2
46,4628,11587,--,2
47,4629,11588,--,2
48,4630,11589,--,2
49,4631,11590,--,2
50,4632,11591,--,2
51,4633,11592,--,2
52,4634,11593,--,2
53,4635,11594,--,2
54,4636,11595,-1,3
55,4637,11596,--,2
56,4638,11597,--,2
57,4639,11598,-1,3
58,4640,11599,-1,3
59,4642,11600,--,2
60,4643,11601,--,2
61,4644,11602,--,2
62,4645,11603,--,2
63,4646,11604,--,2
64,4647,11605,--,2
65,4648,11606,--,2
66,4652,11607,--,2
67,4653,11608,--,2
68,4654,11609,-1,3
69,4655,11610,--,2
70,4656,11611,--,2
71,4657,11612,--,2
72,4658,11613,--,2
73,4659,11614,--,2
74,4660,11615,--,2
75,4661,11616,-1,3
76,4662,11617,--,2
77,4663,11618,--,2
78,4664,11619,--,2
79,4665,11620,--,2
80,4666,11621,--,2
81,4667,11622,-1,3
82,4668,11623,--,2
83,4669,11624,-1,3
84,4670,11625,--,2
85,4671,11626,--,2
86,4672,11627,--,2
87,4673,11628,--,2
88,4674,11629,--,2
89,4676,11630,--,2
90,4677,11631,--,2
91,4678,11632,--,2
92,4679,11633,--,2
93,4680,11634,-1,3
94,4681,11635,-1,3
95,4682,11636,--,2
96,4683,11637,-1,3
97,4684,11638,--,2
98,4685,11639,--,2
99,4686,11640,--,2
100,4687,11641,--,2
101,4688,11642,-1,3
102,4689,11643,--,2
103,4690,11644,-1,3
104,4691,11645,--,2
105,4692,11646,--,2
106,4707,11647,--,2
107,4708,11648,--,2
108,4709,11649,--,2
109,4711,11650,--,2
110,4712,11651,--,2
111,4713,11652,--,2
112,4714,11653,--,2
113,4715,11654,-1,3
114,4716,11655,--,2
115,4717,11656,--,2
116,4736,11657,--,2
117,4737,11658,--,2
118,4738,11659,--,2
119,4739,11660,--,2
120,4740,11661,--,2
121,4741,11662,-1,3
122,4742,11663,--,2
123,4743,11664,--,2
124,4744,11665,--,2
125,4745,11666,--,2
126,4746,11667,--,2
127,4747,11668,--,2
128,4748,11669,--,2
129,4749,11670,--,2
130,4750,11671,--,2
131,4751,11672,--,2
132,4752,11673,--,2
133,4753,11674,--,2
134,4754,11675,--,2
135,4755,11676,--,2
136,4756,11677,--,2
137,4757,11678,--,2
138,4758,11679,--,2
139,4759,11680,--,2
140,4760,11681,--,2
141,4761,11682,--,2
142,4762,11683,--,2
143,4763,11684,-1,3
144,4764,11685,--,2
145,4765,11686,--,2
146,4766,11687,-1,3
147,4767,11688,--,2
148,4768,11689,-1,3
149,4769,11690,--,2
150,4770,11691,-1,3
151,4771,11692,--,2
152,4772,11693,--,2
153,4773,11694,--,2
154,4775,11695,--,2
155,4776,11696,--,2
156,4777,11697,--,2
157,4778,11698,-1,3
158,4779,11699,--,2
159,4780,11700,--,2
160,4781,11701,--,2
161,4782,11702,-1,3
162,4783,11703,-1,3
163,4784,11704,-1,3
164,4785,11705,-1,3
165,4786,11706,--,2
166,4787,11707,--,2
167,4788,11708,--,2
168,4789,11709,--,2
169,4790,11710,--,2
170,4791,11711,--,2
171,4792,11712,-1,3
172,4793,11713,--,2
173,4794,11714,--,2
174,4795,11715,--,2
175,4796,11716,--,2
176,4797,11717,--,2
177,4798,11718,--,2
178,4799,11719,--,2
179,4800,11720,--,2
180,4801,11721,--,2
181,4802,11722,--,2
182,4803,11723,--,2
183,4804,11724,--,2
184,4805,11725,--,2
185,4806,11726,-1,3
186,4807,11727,--,2
187,4808,11728,--,2
188,4809,11729,--,2
189,4810,11730,--,2
190,4811,11731,-1,3
191,4812,11732,-1,3
192,4813,11733,--,2
193,4814,11734,-1,3
194,4815,11735,--,2
195,4816,11736,--,2
196,4817,11737,--,2
197,4818,11738,--,2
198,4819,11739,--,2
199,4820,11740,--,2
200,4821,11741,--,2
201,4822,11742,--,2
202,4823,11743,--,2
203,4824,11744,--,2
204,4825,11745,-1,3
205,4826,11746,--,2
206,4827,11747,--,2
207,4828,11748,--,2
208,4829,11749,--,2
209,4830,11750,--,2
210,4831,11751,--,2
211,4832,11752,-1,3
212,4833,11753,--,2
213,4834,11754,-1,3
214,4835,11755,--,2
215,4836,11756,--,2
216,4837,11757,--,2
217,4838,11758,--,2
218,4839,11759,--,2
219,4840,11760,--,2
220,4841,11761,--,2
221,4842,11762,--,2
222,4843,11763,--,2
223,4844,11764,-1,3
224,4845,11765,-1,3
225,4846,11766,--,2
226,4847,11767,--,2
227,4848,11768,--,2
228,4849,11769,--,2
229,4850,11770,--,2
230,4851,11771,-1,3
231,4852,11772,--,2
232,4853,11773,--,2
233,4854,11774,--,2
234,4855,11775,--,2
235,4856,11776,--,2
236,4857,11777,--,2
237,4858,11778,--,2
238,4859,11779,--,2
239,4860,11780,--,2
240,4861,11781,--,2
241,4862,11782,--,2
242,4863,11783,-1,3
243,4864,11784,--,2
244,4865,11785,--,2
245,4866,11786,--,2
246,4867,11787,--,2
247,4868,11788,--,2
248,4869,11789,--,2
249,4870,11790,--,2
250,4871,11791,--,2
251,4872,11792,--,2
252,4873,11793,-1,3
253,4874,11794,--,2
254,4875,11795,--,2
255,4876,11796,--,2
256,4877,11797,--,2
257,4878,11798,-1,3
258,4879,11799,--,2
259,4880,11800,-1,3
260,4881,11801,--,2
261,4902,11802,--,2
262,4903,11803,--,2
263,4904,11804,--,2
264,4905,11805,-1,3
265,4906,11806,-1,3
266,4907,11807,--,2
267,4908,11808,--,2
268,4909,11809,--,2
269,4910,11810,-1,3
270,4911,11811,--,2
271,4912,11812,--,2
272,4913,11813,--,2
273,4914,11814,--,2
274,4915,11815,--,2
275,4916,11816,--,2
276,4917,11817,--,2
277,4918,11818,--,2
278,4919,11819,--,2
279,4920,11820,--,2
280,4921,11821,--,2
281,4922,11822,--,2
282,4923,11823,--,2
283,4924,11824,-1,3
284,4925,11825,--,2
285,4926,11826,--,2
286,4927,11827,--,2
287,4928,11828,-1,3
288,4929,11829,--,2
289,4930,11830,-1,3
290,4931,11831,--,2
291,4932,11832,--,2
292,4933,11833,--,2
293,4935,11834,-1,3
294,4936,11835,--,2
295,4937,11836,--,2
296,4938,11837,--,2
297,4939,11838,--,2
298,4940,11839,--,2
299,4941,11840,--,2
300,4942,11841,-1,3
301,4943,11842,--,2
302,4944,11843,-1,3
303,4945,11844,--,2
304,4946,11845,--,2
305,4947,11846,--,2
306,4948,11847,--,2
307,4949,11848,--,2
308,4950,11849,-1,3
309,4951,11850,-1,3
310,4952,11851,-1,3
311,4953,11852,-1,3
312,4954,11853,-1,3
313,4955,11854,-1,3
314,4956,11855,-1,3
315,4957,11856,--,2
316,4958,11857,--,2
317,4959,11858,--,2
318,4960,11859,--,2
319,4961,11860,--,2
320,4962,11861,-1,3
321,4963,11862,--,2
322,4964,11863,--,2
323,4965,11864,--,2
324,4966,11865,-1,3
325,4967,11866,--,2
326,4968,11867,--,2
327,4969,11868,--,2
328,4970,11869,--,2
329,4971,11870,--,2
330,4972,11871,--,2
331,4973,11872,-1,3
332,4974,11873,--,2
333,4975,11874,--,2
334,4976,11875,--,2
335,4977,11876,--,2
336,4978,11877,--,2
337,4979,11878,--,2
338,4980,11879,--,2
339,4981,11880,--,2
340,4982,11881,--,2
341,4983,11882,-1,3
342,4984,11883,--,2
343,4985,11884,--,2
344,4986,11885,--,2
345,4987,11886,--,2
346,4988,11887,--,2
347,4989,11888,--,2
348,4990,11889,--,2
349,4991,11890,--,2
350,4992,11891,--,2
351,4993,11892,--,2
352,4994,11893,--,2
353,4995,11894,--,2
354,4996,11895,--,2
355,4997,11896,--,2
356,4998,11897,--,2
357,4999,11898,--,2
358,5000,11899,--,2
359,5001,11900,--,2
360,5002,11901,--,2
361,5003,11902,--,2
362,5004,11903,--,2
363,5005,11904,--,2
364,5006,11905,--,2
365,5007,11906,--,2
366,5008,11907,--,2
367,5009,11908,--,2
368,5010,11909,-1,3
369,5011,11910,-1,3
370,5012,11911,--,2
371,5013,11912,--,2
372,5014,11913,--,2
373,5015,11914,--,2
374,5016,11915,-1,3
375,5017,11916,--,2
376,5018,11917,--,2
377,5019,11918,--,2
378,5020,11919,--,2
379,5021,11920,--,2
380,5022,11921,--,2
381,5023,11922,--,2
382,5024,11923,--,2
383,5025,11924,--,2
384,5026,11925,--,2
385,5027,11926,--,2
386,5028,11927,--,2
387,5029,11928,-1,3
388,5030,11929,-1,3
389,5031,11930,--,2
390,5032,11931,--,2
391,5033,11932,-1,3
392,5034,11933,--,2
393,5035,11934,--,2
394,5036,11935,--,2
395,5037,11936,--,2
396,5038,11937,--,2
397,5039,11938,--,2
398,5040,11939,--,2
399,5041,11940,-1,3
400,5042,11941,--,2
401,5043,11942,--,2
402,5044,11943,--,2
403,5045,11944,--,2
404,5046,11945,--,2
405,5047,11946,-1,3
406,5048,11947,--,2
407,5049,11948,-1,3
408,5050,11949,--,2
409,5051,11950,--,2
410,5052,11951,--,2
411,5053,11952,--,2
412,5054,11953,--,2
413,5055,11954,--,2
414,5056,11955,--,2
415,5057,11956,--,2
416,5058,11957,--,2
417,5059,11958,--,2
418,5060,11959,-1,3
419,5061,11960,--,2
420,5062,11961,--,2
421,5063,11962,--,2
422,5064,11963,--,2
423,5065,11964,--,2
424,5066,11965,--,2
425,5067,11966,--,2
426,5068,11967,--,2
427,5069,11968,--,2
428,5070,11969,--,2
429,5071,11970,--,2
430,5072,11971,--,2
431,5073,11972,--,2
432,5074,11973,--,2
433,5075,11974,-1,3
434,5076,11975,-1,3
435,5077,11976,-1,3
436,5078,11977,--,2
437,5079,11978,--,2
438,5080,11979,--,2
439,5081,11980,--,2
440,5082,11981,--,2
441,5083,11982,--,2
442,5084,11983,--,2
443,5085,11984,--,2
444,5086,11985,--,2
445,5087,11986,--,2
446,5088,11987,--,2
447,5089,11988,--,2
448,5090,11989,--,2
449,5091,11990,--,2
450,5092,11991,-1,3
451,5093,11992,--,2
452,5094,11993,--,2
453,5095,11994,-1,3
454,5096,11995,--,2
455,5097,11996,--,2
456,5098,11997,--,2
457,5099,11998,--,2
458,5100,11999,--,2
459,5101,12000,--,2
460,5102,12001,--,2
461,5103,12002,--,2
462,5104,12003,--,2
463,5105,12004,--,2
464,5106,12005,--,2
465,5107,12006,--,2
466,5108,12007,--,2
467,5109,12008,--,2
468,5110,12009,--,2
469,5111,12010,--,2
470,5112,12011,--,2
471,5113,12012,--,2
472,5114,12013,--,2
473,5115,12014,--,2
474,5116,12015,--,2
475,5117,12016,--,2
476,5118,12017,--,2
477,5119,12018,--,2
478,5120,12019,-1,3
479,5121,12020,--,2
480,5122,12021,--,2
481,5123,12022,-1,3
482,5124,12023,--,2
483,5125,12024,--,2
484,5126,12025,--,2
485,5127,12026,--,2
486,5128,12027,--,2
487,5129,12028,--,2
488,5130,12029,--,2
489,5131,12030,-1,3
490,5132,12031,-1,3
491,5133,12032,--,2
492,5134,12033,--,2
493,5135,12034,--,2
494,5136,12035,--,2
495,5138,12036,--,2
496,5139,12037,--,2
497,5140,12038,--,2
498,5141,12039,--,2
499,5142,12040,--,2
500,5143,12041,-1,3
501,5145,12042,--,2
502,5146,12043,--,2
503,5147,12044,--,2
504,5148,12045,--,2
505,5149,12046,--,2
506,5150,12047,--,2
507,5151,12048,-1,3
508,5152,12049,--,2
509,5153,12050,-1,3
510,5154,12051,--,2
511,5155,12052,--,2
512,5156,12053,--,2
513,5157,12054,--,2
514,5158,12055,--,2
515,5159,12056,--,2
516,5160,12057,-1,3
517,5161,12058,--,2
518,5162,12059,--,2
519,5163,12060,--,2
520,5164,12061,--,2
521,5165,12062,--,2
522,5166,12063,-1,3
523,5167,12064,--,2
524,5168,12065,--,2
525,5169,12066,--,2
526,5170,12067,-1,3
527,5171,12068,--,2
528,5172,12069,--,2
529,5173,12070,--,2
530,5174,12071,--,2
531,5175,12072,--,2
532,5176,12073,--,2
533,5177,12074,--,2
534,5178,12075,--,2
535,5179,12076,--,2
536,5180,12077,--,2
537,5181,12078,--,2
538,5182,12079,-1,3
539,5183,12080,--,2
540,5184,12081,--,2
