,acc_bact,design_phage,id_bact,id_phage,interaction_id_old_db
0,NC_018289.1,Mycobacterium_phage_20ES,5859,5326,9372
1,NC_018289.1,Mycobacterium_phage_244,5859,6247,9373
2,NC_018289.1,Mycobacterium_phage_32HC,5859,1976,9374
3,NC_018289.1,Mycobacterium_phage_39HC,5859,430,9375
4,NC_018289.1,Mycobacterium_phage_40AC,5859,431,9376
5,NC_018289.1,Mycobacterium_phage_40BC,5859,433,9377
6,NZ_APVM00000000.1,Streptomyces_phage_AbbeyMikolon,5787,6265,9379
7,NC_018289.1,Mycobacterium_phage_AbbyPaige,5859,6248,9380
8,NC_018289.1,Mycobacterium_phage_AbbysRanger,5859,1977,9381
9,NC_018289.1,Mycobacterium_phage_ABCat,5859,447,9382
10,NC_018289.1,Mycobacterium_phage_Abdiel,5859,448,9383
11,NZ_CP014196.1,Arthrobacter_phage_Abidatro,153,449,9384
12,NC_018289.1,Mycobacterium_phage_Abrogate,5859,5327,9385
13,NC_018289.1,Mycobacterium_phage_ABU,5859,451,9387
14,NC_018289.1,Mycobacterium_phage_Acadian,5859,452,9388
15,NC_018289.1,Mycobacterium_phage_ACFishhook,5859,1978,9389
16,NC_018289.1,Mycobacterium_phage_Achebe,5859,456,9390
17,NC_018289.1,Mycobacterium_phage_Acme,5859,1979,9391
18,NC_018289.1,Mycobacterium_phage_Acquire49,5859,6259,9392
19,NC_018289.1,Mycobacterium_phage_ActinUp,5859,1980,9393
20,NC_018289.1,Mycobacterium_phage_Adahisdi,5859,1981,9394
21,NZ_CP014196.1,Arthrobacter_phage_Adat,153,1982,9395
22,NC_018289.1,Mycobacterium_phage_Adephagia,5859,1983,9396
23,NZ_CP016594.1,Gordonia_phage_Adgers,1869,1984,9397
24,NC_018289.1,Mycobacterium_phage_Ading,5859,1985,9398
25,NC_018289.1,Mycobacterium_phage_Adjutor,5859,1986,9399
26,NC_018289.1,Mycobacterium_phage_Adlitam,5859,1987,9400
27,NC_018289.1,Mycobacterium_phage_Adnama,5859,1988,9401
