,interaction_id,interaction_type,id_bacterium,acc_bacterium,bact_strain,bact_specie,bact_genus,id_phage,acc_phage,phage_name
0,9372,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4647,KJ410132,Mycobacterium_phage_20ES
1,9373,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4649,DQ398041,Mycobacterium_phage_244
2,9374,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4650,KJ028219,Mycobacterium_phage_32HC
3,9375,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4651,KJ433973,Mycobacterium_phage_39HC
4,9376,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4652,KJ192196,Mycobacterium_phage_40AC
5,9377,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4653,KJ433975,Mycobacterium_phage_40BC
6,9379,1,4657,NZ_APVM00000000.1,1326,Streptomyces lividans,Streptomyces,4656,NA,Streptomyces_phage_AbbeyMikolon
7,9380,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4658,NA,Mycobacterium_phage_AbbyPaige
8,9381,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4659,NA,Mycobacterium_phage_AbbysRanger
9,9382,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4660,KF188414,Mycobacterium_phage_ABCat
10,9383,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4661,KY083058,Mycobacterium_phage_Abdiel
11,9384,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4662,MF140397,Arthrobacter_phage_Abidatro
12,9385,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4664,KM597531,Mycobacterium_phage_Abrogate
13,9387,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4666,JF704091,Mycobacterium_phage_ABU
