organism_ptr_id,designation,baltimore_classification_id
2054,Mycobacterium_phage_Astro,NULL
2055,Propionibacterium_phage_ATCC29399BC,NULL
2056,Propionibacterium_phage_ATCC29399BT,NULL
2057,Mycobacterium_phage_Athena,NULL
430,Mycobacterium_phage_39HC,NULL
431,Mycobacterium_phage_40AC,NULL
433,Mycobacterium_phage_40BC,NULL
434,Streptomyces_phage_Aaronocolus,NULL
447,Mycobacterium_phage_ABCat,NULL
448,Mycobacterium_phage_Abdiel,NULL
449,Arthrobacter_phage_Abidatro,NULL
450,Streptomyces_phage_Abt2graduatex2,NULL
451,Mycobacterium_phage_ABU,NULL
452,Mycobacterium_phage_Acadian,NULL
456,Mycobacterium_phage_Achebe,NULL
484,Mycobacterium_phage_AgentM,NULL
487,Mycobacterium_phage_Aglet,NULL
1976,Mycobacterium_phage_32HC,NULL
1977,Mycobacterium_phage_AbbysRanger,NULL
1978,Mycobacterium_phage_ACFishhook,NULL
1979,Mycobacterium_phage_Acme,NULL
1980,Mycobacterium_phage_ActinUp,NULL
1981,Mycobacterium_phage_Adahisdi,NULL
1982,Arthrobacter_phage_Adat,NULL
1983,Mycobacterium_phage_Adephagia,NULL
1984,Gordonia_phage_Adgers,NULL
1985,Mycobacterium_phage_Ading,NULL
1986,Mycobacterium_phage_Adjutor,NULL
1987,Mycobacterium_phage_Adlitam,NULL
1988,Mycobacterium_phage_Adnama,NULL
1989,Mycobacterium_phage_Adonis,NULL
1990,Gordonia_phage_Affeca,NULL
1991,Mycobacterium_phage_AFIS,NULL
1992,Gordonia_phage_Agatha,NULL
1993,Mycobacterium_phage_Aggie,NULL
1994,Mycobacterium_phage_AgronaGT15,NULL
1995,Mycobacterium_phage_Airmid,NULL
1996,Gordonia_phage_AlainaMarie,NULL
1997,Mycobacterium_phage_AlanGrant,NULL
1998,Rhodococcus_phage_Alatin,NULL
1999,Mycobacterium_phage_Albee,NULL
2000,Mycobacterium_phage_Alexphander,NULL
2001,Mycobacterium_phage_Alice,NULL
2002,Mycobacterium_phage_AlishaPH,NULL
2003,Mycobacterium_phage_Aliter,NULL
2004,Mycobacterium_phage_AlleyCat,NULL
2005,Mycobacterium_phage_Alma,NULL
2006,Rhodococcus_phage_Alpacados,NULL
2007,Mycobacterium_phage_AltPhacts,NULL
2008,Mycobacterium_phage_Altwerkus,NULL
2009,Mycobacterium_phage_Amelie,NULL
2010,Mycobacterium_phage_Amgine,NULL
2011,Arthrobacter_phage_Amigo,NULL
2012,Mycobacterium_phage_Amohnition,NULL
2013,Gordonia_phage_Anamika,NULL
2014,Arthrobacter_phage_Anansi,NULL
2015,Propionibacterium_phage_Anatole,NULL
2016,Mycobacterium_phage_Anaya,NULL
