"organism_ptr_id","strain_id"
59,15010
60,15011
61,15012
62,15013
63,15014
64,15015
65,15016
66,15017
67,15018
68,15019
70,15020
71,15021
72,15022
73,15023
74,15024
75,15025
76,15026
77,15027
78,15028
79,15029
80,15030
81,15031
82,15032
83,15033
84,15034
85,15035
86,15036
87,15037
88,15038
89,15039
90,15040
91,15041
92,15042
93,15043
94,15044
95,15045
96,15046
97,15047
98,15048
99,15049
100,15050
101,15051
102,15052
103,15053
104,15054
105,15055
106,15056
107,15057
108,15058
109,15059
110,15060
111,15061
112,15062
113,15063
114,15064
115,15065
116,15066
117,15067
118,15068
119,15069
120,15070
121,15071
122,15072
123,15073
124,15074
125,15076
126,15077
127,15078
128,15079
129,15080
130,15081
131,15082
132,15083
133,15084
134,15085
135,15086
136,15087
137,15088
138,15089
139,15090
140,15091
141,15092
142,15093
143,15096
144,15097
145,15098
146,15099
147,15100
148,15101
150,15102
152,15105
153,15106
154,15107
155,15108
156,15109
157,15110
158,15111
159,15112
160,15113
161,15114
162,15115
163,15116
164,15117
165,15118
166,15119
167,15120
168,15121
169,15122
170,15124
171,15125
172,15126
173,15127
174,15128
175,15129
176,15130
177,15131
178,15133
179,15134
180,15135
181,15136
182,15137
183,15138
184,15139
185,15140
186,15141
187,15142
188,15143
189,15144
190,15145
191,15146
192,15147
193,15148
194,15149
195,15150
196,15151
197,15152
198,15153
199,15154
200,15155
201,15156
202,15157
203,15158
204,15159
205,15160
206,15161
207,15162
208,15163
209,15164
210,15165
211,15166
212,15167
213,15168
214,15169
215,15170
216,15171
217,15172
218,15173
219,15174
220,15175
221,15176
222,15177
223,15178
224,15179
225,15180
226,15181
227,15182
228,15183
229,15184
230,15185
231,15186
232,15187
233,15188
234,15189
235,15190
236,15191
237,15192
238,15193
239,15194
240,15195
241,15196
242,15197
243,15198
244,15199
245,15200
246,15201
247,15202
248,15203
249,15204
250,15205
251,15206
252,15207
253,15208
254,15209
255,15210
256,15211
257,15212
258,15213
259,15214
260,15215
261,15216
262,15217
263,15218
264,15219
265,15220
266,15221
267,15222
268,15223
269,15224
270,15225
271,15226
272,15227
273,15228
274,15229
275,15230
276,15231
277,15232
278,15233
279,15234
280,15235
281,15236
282,15237
283,15238
284,15239
285,15240
286,15241
287,15242
288,15243
289,15244
290,15245
291,15246
292,15247
293,15248
294,15249
295,15250
296,15252
297,15253
298,15254
299,15255
300,15256
301,15257
302,15258
303,15259
304,15260
305,15261
306,15262
307,15263
308,15264
309,15265
310,15266
311,15267
312,15268
313,15269
314,15270
315,15271
316,15272
317,15273
318,15274
319,15275
320,15276
321,15277
322,15278
323,15279
324,15280
325,15281
326,15282
327,15283
328,15284
329,15285
330,15286
331,15287
332,15288
333,15289
334,15290
335,15291
336,15292
337,15293
338,15294
339,15295
340,15296
341,15297
342,15298
343,15299
344,15300
345,15301
346,15302
347,15303
348,15304
349,15305
350,15306
351,15307
352,15308
353,15309
354,15310
355,15311
356,15312
357,15313
358,15314
359,15315
360,15316
361,15317
362,15318
363,15319
364,15320
365,15321
366,15322
367,15323
368,15324
369,15325
370,15326
371,15327
372,15328
373,15329
374,15330
375,15331
376,15332
377,15333
385,15339
386,15340
387,15341
388,15343
389,15344
390,15345
391,15346
392,15347
393,15348
394,15349
395,15350
396,15351
397,15352
398,15353
399,15354
400,15355
401,15356
402,15357
403,15358
404,15359
405,15360
406,15361
407,15362
408,15364
409,15366
410,15367
411,15368
412,15369
413,15370
414,15371
415,15372
418,15375
419,15376
421,15377
422,15378
424,15379
425,15380
426,15381
427,15382
432,15383
437,15384
439,15385
440,15386
441,15387
442,15388
443,15389
444,15390
445,15391
446,15392
454,15393
455,15394
459,15395
462,15396
463,15397
464,15398
465,15399
466,15400
467,15401
468,15402
469,15403
471,15404
472,15405
474,15406
475,15407
479,15412
480,15413
481,15414
501,15421
502,15422
503,15423
504,15424
505,15425
506,15426
507,15427
508,15428
509,15430
510,15431
511,15432
512,15433
513,15434
514,15435
515,15436
516,15437
517,15438
518,15439
519,15440
520,15441
521,15442
522,15443
523,15444
524,15445
525,15446
526,15447
527,15448
528,15449
529,15450
530,15451
531,15452
532,15453
533,15454
534,15455
535,15456
536,15457
537,15458
538,15459
539,15460
541,15461
542,15462
543,15463
544,15464
545,15465
546,15466
547,15467
548,15468
549,15470
550,15471
551,15472
552,15473
553,15474
554,15475
555,15476
556,15477
557,15478
558,15479
559,15480
560,15481
561,15482
562,15483
563,15484
564,15485
565,15486
566,15487
567,15488
568,15489
569,15490
570,15491
571,15492
572,15493
573,15494
574,15495
575,15496
576,15497
577,15499
578,15500
579,15502
580,15503
581,15504
582,15505
583,15506
584,15507
585,15508
586,15509
587,15510
588,15511
589,15512
590,15513
591,15514
592,15515
593,15516
594,15517
595,15518
596,15519
597,15520
598,15521
599,15522
600,15523
601,15524
602,15525
603,15526
604,15527
605,15528
606,15529
607,15530
608,15531
609,15532
610,15533
612,15535
613,15536
614,15537
615,15538
616,15539
617,15540
618,15541
619,15542
620,15543
621,15544
622,15545
623,15546
624,15548
625,15549
626,15550
627,15551
628,15552
629,15553
630,15554
631,15555
632,15556
633,15557
634,15558
635,15559
636,15560
637,15561
638,15562
639,15563
640,15564
641,15566
642,15567
643,15568
644,15569
645,15570
646,15571
647,15572
648,15573
649,15574
650,15575
651,15576
652,15577
653,15578
654,15579
655,15580
656,15581
657,15582
658,15583
659,15584
660,15585
661,15586
662,15587
663,15588
664,15589
665,15590
666,15591
667,15592
668,15593
669,15594
670,15595
671,15596
672,15597
673,15598
674,15599
675,15600
676,15601
677,15602
678,15603
679,15604
681,15608
682,15609
683,15610
684,15611
685,15612
686,15613
687,15614
688,15615
689,15616
690,15617
691,15618
692,15619
693,15620
694,15621
695,15622
696,15623
697,15624
698,15625
699,15626
700,15627
701,15628
702,15629
703,15630
704,15631
705,15632
706,15633
708,15636
709,15637
710,15638
711,15639
712,15641
713,15642
714,15643
715,15644
716,15645
717,15646
718,15647
719,15648
720,15649
721,15650
722,15651
723,15652
724,15653
725,15654
726,15655
727,15656
728,15657
729,15658
730,15659
731,15660
732,15661
733,15662
734,15663
735,15664
736,15665
737,15666
738,15667
739,15668
740,15669
741,15671
742,15672
743,15673
744,15674
745,15675
746,15676
747,15677
748,15678
749,15679
750,15680
751,15681
752,15682
753,15683
754,15684
755,15685
756,15686
757,15687
758,15688
759,15689
760,15690
761,15691
762,15692
763,15693
764,15694
765,15695
766,15696
767,15697
768,15698
769,15699
770,15700
771,15701
772,15702
773,15703
774,15705
775,15706
776,15707
777,15708
778,15709
779,15710
780,15711
781,15712
782,15713
783,15714
784,15715
785,15716
786,15717
787,15718
788,15719
789,15720
790,15721
791,15722
792,15723
793,15724
794,15725
795,15726
796,15727
797,15728
798,15729
799,15730
800,15731
801,15732
802,15733
803,15734
804,15735
805,15736
806,15737
807,15738
808,15739
809,15740
810,15741
811,15742
812,15743
813,15744
814,15745
815,15746
816,15747
819,15750
820,15751
821,15752
822,15753
823,15754
824,15755
825,15756
826,15757
827,15758
828,15759
829,15760
830,15761
831,15762
832,15763
833,15764
834,15765
835,15766
836,15767
837,15768
838,15769
839,15770
840,15771
841,15772
842,15773
843,15774
844,15775
845,15776
846,15777
847,15778
848,15779
849,15780
850,15781
851,15782
853,15785
854,15786
855,15787
856,15788
857,15789
858,15790
859,15791
860,15792
861,15793
862,15794
863,15795
864,15796
865,15797
866,15798
867,15799
868,15800
869,15801
870,15802
871,15803
872,15804
873,15805
874,15806
875,15807
876,15808
877,15809
878,15810
879,15811
880,15812
881,15813
882,15814
883,15815
885,15818
886,15819
887,15820
888,15821
889,15822
890,15823
891,15824
892,15825
893,15826
895,15830
896,15831
897,15832
898,15833
899,15834
900,15835
901,15836
902,15837
903,15838
904,15839
905,15840
906,15841
907,15842
908,15843
909,15844
910,15845
911,15846
912,15847
913,15848
914,15849
915,15851
916,15852
917,15853
918,15854
919,15855
920,15856
921,15857
922,15858
923,15859
924,15860
925,15861
926,15862
927,15863
928,15864
929,15865
930,15866
931,15867
932,15868
933,15869
934,15870
935,15872
936,15873
937,15874
938,15875
939,15876
940,15877
941,15878
942,15881
943,15882
944,15883
945,15884
946,15885
947,15886
948,15887
949,15888
950,15889
951,15890
952,15891
953,15892
954,15893
955,15894
956,15895
957,15896
958,15897
959,15899
960,15900
961,15901
962,15903
963,15904
964,15905
965,15906
966,15907
967,15908
968,15909
969,15910
970,15911
971,15912
972,15913
973,15914
974,15915
975,15916
976,15917
977,15918
978,15919
979,15920
980,15921
981,15922
982,15923
983,15924
984,15925
985,15926
986,15927
987,15928
988,15929
989,15930
990,15931
991,15932
992,15933
993,15934
994,15935
995,15936
996,15937
997,15938
998,15939
999,15940
1000,15941
1001,15942
1002,15943
1003,15944
1004,15945
1005,15946
1006,15947
1007,15948
1008,15949
1009,15950
1010,15951
1011,15952
1012,15953
1013,15954
1014,15955
1015,15956
1016,15957
1017,15958
1018,15959
1019,15960
1020,15964
1021,15965
1022,15966
1023,15967
1024,15968
1025,15969
1026,15970
1027,15971
1028,15972
1029,15973
1030,15974
1031,15975
1032,15976
1033,15977
1034,15978
1035,15979
1036,15980
1037,15981
1038,15982
1039,15984
1040,15985
1041,15986
1042,15987
1043,15988
1044,15989
1045,15990
1046,15991
1047,15992
1048,15993
1049,15994
1050,15995
1051,15996
1052,15997
1053,15998
1054,15999
1055,16000
1056,16001
1057,16002
1058,16003
1059,16004
1060,16005
1061,16006
1062,16007
1063,16008
1064,16009
1065,16010
1066,16011
1067,16012
1068,16013
1069,16014
1070,16015
1071,16016
1072,16017
1073,16018
1074,16019
1075,16020
1076,16021
1077,16022
1078,16023
1079,16024
1080,16025
1081,16026
1082,16027
1083,16031
1084,16032
1085,16033
1086,16034
1087,16035
1088,16036
1089,16037
1090,16038
1091,16039
1092,16040
1093,16041
1094,16042
1095,16043
1096,16044
1097,16045
1098,16046
1099,16047
1100,16048
1101,16049
1102,16050
1103,16052
1104,16053
1105,16054
1106,16055
1107,16056
1108,16057
1109,16058
1110,16059
1111,16060
1112,16061
1113,16062
1114,16063
1115,16064
1116,16065
1117,16066
1118,16067
1119,16068
1120,16069
1121,16070
1122,16071
1123,16072
1124,16073
1125,16074
1126,16075
1127,16076
1128,16077
1129,16078
