;acc_bact;design_phage;id_bact;id_phage;
0;NC_018289.1;Mycobacterium_phage_20ES;5859;5326;
3295;NC_018289.1;Acholeplasma_phage_MV-L1;5859;4254;
2;NC_018289.1;Mycobacterium_phage_32HC;5859;1976;
3;NC_018289.1;Mycobacterium_phage_39HC;5859;430;
4;NC_018289.1;Mycobacterium_phage_40AC;5859;431;
5;NC_018289.1;Mycobacterium_phage_40BC;5859;433;
2345;NC_018289.1;Achromobacter_phage_phiAxp-1;5859;3875;
4251;NZ_CP016594.1;Achromobacter_phage_phiAxp-1;1869;3875;
8;NC_018289.1;Mycobacterium_phage_AbbysRanger;5859;1977;
9;NC_018289.1;Mycobacterium_phage_ABCat;5859;447;
10;NC_018289.1;Mycobacterium_phage_Abdiel;5859;448;
11;NZ_CP014196.1;Arthrobacter_phage_Abidatro;153;449;
12;NC_018289.1;Mycobacterium_phage_Abrogate;5859;5327;
13;NC_018289.1;Mycobacterium_phage_ABU;5859;451;
14;NC_018289.1;Mycobacterium_phage_Acadian;5859;452;
15;NC_018289.1;Mycobacterium_phage_ACFishhook;5859;1978;
16;NC_018289.1;Mycobacterium_phage_Achebe;5859;456;
17;NC_018289.1;Mycobacterium_phage_Acme;5859;1979;
3913;NC_018289.1;Achromobacter_phage_phiAxp-2;5859;3885;
19;NC_018289.1;Mycobacterium_phage_ActinUp;5859;1980;
20;NC_018289.1;Mycobacterium_phage_Adahisdi;5859;1981;
21;NZ_CP014196.1;Arthrobacter_phage_Adat;153;1982;
22;NC_018289.1;Mycobacterium_phage_Adephagia;5859;1983;
23;NZ_CP016594.1;Gordonia_phage_Adgers;1869;1984;
24;NC_018289.1;Mycobacterium_phage_Ading;5859;1985;
25;NC_018289.1;Mycobacterium_phage_Adjutor;5859;1986;
26;NC_018289.1;Mycobacterium_phage_Adlitam;5859;1987;
27;NC_018289.1;Mycobacterium_phage_Adnama;5859;1988;
28;NC_018289.1;Mycobacterium_phage_Adonis;5859;1989;
29;NC_018289.1;Mycobacterium_phage_Adzzy;5859;5328;
30;NC_018289.1;Mycobacterium_phage_Aeneas;5859;5329;
31;NZ_CP016594.1;Gordonia_phage_Affeca;1869;1990;
32;NC_018289.1;Mycobacterium_phage_AFIS;5859;1991;
33;NZ_CP016594.1;Gordonia_phage_Agatha;1869;1992;
34;NC_018289.1;Mycobacterium_phage_AgentM;5859;484;
35;NC_018289.1;Mycobacterium_phage_Aggie;5859;1993;
36;NC_018289.1;Mycobacterium_phage_Aglet;5859;487;
37;NC_018289.1;Mycobacterium_phage_AgronaGT15;5859;1994;
3367;NC_018289.1;Achromobacter_phage_phiAxp-3;5859;3640;
39;NC_018289.1;Mycobacterium_phage_Airmid;5859;1995;
40;NC_018289.1;Mycobacterium_phage_Akoma;5859;5330;
41;NZ_CP016594.1;Gordonia_phage_AlainaMarie;1869;1996;
42;NC_018289.1;Mycobacterium_phage_AlanGrant;5859;1997;
43;NC_018289.1;Mycobacterium_phage_Albee;5859;1999;
44;NC_018289.1;Mycobacterium_phage_Alexphander;5859;2000;
45;NC_018289.1;Mycobacterium_phage_Alice;5859;2001;
46;NC_018289.1;Mycobacterium_phage_AlishaPH;5859;2002;
47;NC_018289.1;Mycobacterium_phage_Aliter;5859;2003;
48;NC_018289.1;Mycobacterium_phage_AlleyCat;5859;2004;
49;NC_018289.1;Mycobacterium_phage_Alma;5859;2005;
50;NC_018289.1;Mycobacterium_phage_Alsfro;5859;5331;
